Y_Col,Diet Pattern,SSPG,DP p-value,SSPG p-value
IL17F,0.008561612,0.113581219,0.987858462,0.668025721
FASL,-0.277433523,-0.385562994,0.644248945,0.179580903
TGFA,0.052718356,0.034774078,0.930430126,0.902446855
MIP1A,0.066797592,-0.066980641,0.775658498,0.544283099
SDF1A,0.133378558,-0.20611119,0.717711395,0.240871745
IL27,-0.116310033,-0.283433178,0.767055403,0.133626988
LIF,0.206266335,-0.009517518,0.519109066,0.949278561
IL1B,0.42223127,-0.222077862,0.283059461,0.230903298
IL2,0.384266161,-0.017108226,0.310422809,0.922549223
IL4,-0.097160199,-0.136939697,0.797858728,0.444876953
IL5,0.264244823,-0.089603114,0.363380123,0.509937255
IP10,0.148031948,-0.028517877,0.785951834,0.911268284
IL6,-0.515826225,-0.449812364,0.422063388,0.142807777
IL7,-0.050207161,-0.327649431,0.917038889,0.157011857
IL8,-0.245578587,-0.418099738,0.681488612,0.145561607
IL10,-0.104631629,-0.353977528,0.831123678,0.134002426
IFNB,0.020515969,0.195221111,0.973690404,0.506206601
EOTAXIN,0.089524589,0.254143776,0.80822956,0.151482935
IL12P70,0.01708476,-0.276391057,0.959108424,0.087465001
IL13,-0.130731906,-0.337127442,0.769649044,0.117461292
IL17A,-0.351031927,-0.590931643,0.397819386,0.005201899
IL31,-0.398403283,-0.410902775,0.539525379,0.184730224
IL1RA,0.154048575,-0.051026733,0.682976128,0.773174813
SCF,-0.085873819,-0.283828493,0.849881217,0.19120404
RANTES,0.244673092,0.027418382,0.594196556,0.898575997
IFNG,-0.360036986,-0.377383834,0.514612384,0.153287574
GMCSF,-0.669810909,-0.093629746,0.014743757,0.440723807
TNFA,-0.058917981,-0.273005555,0.886041401,0.16635459
HGF,-0.024016858,0.107453619,0.947871466,0.535234384
MIP1B,0.225614102,-0.086845192,0.652644472,0.712083248
IFNA,-0.197323678,-0.386085817,0.713126075,0.134719483
TGFB,0.290999191,-0.065550617,0.414448929,0.693924158
MCP1,-0.561656736,-0.136826912,0.169751371,0.469744334
IL9,-0.41208442,-0.400490643,0.505380691,0.174920428
VEGFD,0.143551845,-0.24820988,0.644551718,0.098754923
TNFB,-0.318592401,-0.397647048,0.599274864,0.170299389
NGF,-0.070938923,-0.341135286,0.860474401,0.081877745
EGF,-0.162575912,0.04163659,0.699136204,0.832935645
BDNF,0.192134873,0.001717008,0.655348583,0.993210691
TRAIL,0.082263005,-0.152732126,0.821023501,0.375186431
GCSF,0.032176899,-0.321358034,0.95459472,0.233451691
GROA,-0.610249967,-0.607240124,0.332099416,0.047032321
IL1A,-0.016249252,-0.219948611,0.973127569,0.336702618
IL23,0.091525362,-0.222433939,0.851053187,0.336131273
IL12P40,0.30276105,-0.085568814,0.340408632,0.563784919
IL15,0.122019244,-0.019935541,0.704242438,0.894826081
IL18,-0.144352109,-0.311492443,0.766655683,0.181068566
MCSF,-0.156373145,-0.261106364,0.795300296,0.360576663
MCP3,-0.052121748,-0.230772255,0.890193816,0.201259522
MIG,0.180259627,-0.062299696,0.501400536,0.620094548
RESISTIN,0.288177877,0.001238567,0.47425089,0.994746893
IL21,0.143714535,-0.032474295,0.418393582,0.695504816
ICAM1,-0.194321216,0.115641123,0.569965363,0.47269507
VCAM1,-0.860697609,0.009605829,0.003170324,0.938289834
FGFB,-0.256049242,-0.347341554,0.647424522,0.193935126
IL22,0.040793449,-0.125098493,0.915721962,0.491917464
PDGFBB,0.142714217,-0.064548708,0.586398813,0.600330723
VEGF,-0.077944302,0.133302286,0.849478314,0.491733549
LEPTIN,-0.450541617,0.04332307,0.11589032,0.74108125
PAI1,0.161624951,-0.408292295,0.677495829,0.033238785
CD40L,0.143142341,0.121758619,0.720482487,0.518412901
ENA78,-0.623375837,-0.576109094,0.183764647,0.012894459