"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int","class"
"Alcohol","nHILIC_133.0506_2.3",0.78239976441671,0.00263141358353699,0.142161692298377,"133.0506_2.3","2,3-Dihydroxyvaleric acid","C04039","HMDB00421","26386-47-0","HMDB","-0.214892254","nHILIC",70000,"[M-H]-","YES","Y","Cofactors and Vitamins","Pantothenate and CoA Metabolism","2,3-Dihydroxyvaleric acid",362197.295723164,"IS"
"Alcohol","nHILIC_238.0929_7.3",0.740475259644329,0.0058810021246118,0.142161692298377,"238.0929_7.3","ethyl glucuronide",NA,"HMDB10325",NA,NA,"-1.346310153","nHILIC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","ethyl glucuronide",327738.502754612,"IS"
"Alcohol","nHILIC_302.1148_6.5",0.725511977396097,0.00757074100997277,0.142161692298377,"302.1148_6.5","Indoleacetyl glutamine",NA,"HMDB13240","4/3/99","HMDB","0.573871095107597|-3.83822583965149|0.573871095107597","nHILIC",70000,"[M-H]-","YES","Y","Amino Acid","Tryptophan Metabolism","Indoleacetyl glutamine",94788.7329473394,"IS"
"Alcohol","nRPLC_411.127_3.6",-0.726792816479857,0.0074133607225261,0.142161692298377,"411.127_3.6","N6-Carbamoyl-L-threonyladenosine",NA,"HMDB41623",NA,"HMDB","0.044534029","nRPLC",20000,"[M-H]-","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N6-Carbamoyl-L-threonyladenosine",19343.2457115189,"IS"
"Alcohol","pHILIC_738.5403_4.4",0.741250655184282,0.00580197040568554,0.142161692298377,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207,"IS"
"Alcohol","nHILIC_700.5312_4.5",0.804570310453112,0.00160046355109237,0.142161692298377,"700.5312_4.5","PE(P-34:1)",NA,NA,NA,NA,"3.620182032","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(P-34:1)",90648.3953498471,"IS"
"Alcohol","pHILIC_728.5563_4.5",0.752353009667435,0.00475581243516332,0.142161692298377,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057,"IS"
"Alcohol","pHILIC_724.5254_4.4",0.725671738467967,0.00755097532364346,0.142161692298377,"724.5254_4.4","PE(P-36:4)",NA,NA,NA,NA,"-2.99956413","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-36:4)",3189886.13057085,"IS"
"Alcohol","pHILIC_752.5554_4.3",0.768809027690309,0.00347538213763065,0.142161692298377,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605,"IS"
"Alcohol","pHILIC_728.5563_4.5",-0.714258669220292,0.00018848398903389,0.0318537941467274,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057,"IR"
"Caff","nRPLC_327.2538_10.5",-0.656483425371635,0.000905566034610555,0.153040659849184,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985,"IR"
"Chol","pHILIC_724.5254_4.4",0.862073122082442,0.00031042425999285,0.046024248551978,"724.5254_4.4","PE(P-36:4)",NA,NA,NA,NA,"-2.99956413","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-36:4)",3189886.13057085,"IS"
"Chol","pHILIC_752.5554_4.3",0.844709508116692,0.000544665663337018,0.046024248551978,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605,"IS"
"Chol","nHILIC_724.5298_4.4",0.829219598577117,0.000852409738436474,0.0480190819319214,"724.5298_4.4","PE(P-36:3)",NA,NA,NA,NA,"1.57083219","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-36:3)",470907.857176351,"IS"
"Chol","nRPLC_151.04_2.3",0.783735606079577,0.0025578217587779,0.0617531253190664,"151.04_2.3","2-Hydroxyphenylacetate","C05852","HMDB00669",NA,NA,"-0.421724085","nRPLC",20000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","2-Hydroxyphenylacetate",89043.6564576962,"IS"
"Chol","pHILIC_738.5403_4.4",0.790155051156957,0.00222581676621169,0.0617531253190664,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207,"IS"
"Chol","nHILIC_700.5312_4.5",0.802828593408427,0.00166782838818095,0.0617531253190664,"700.5312_4.5","PE(P-34:1)",NA,NA,NA,NA,"3.620182032","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(P-34:1)",90648.3953498471,"IS"
"Chol","nHILIC_833.5227_5.2",-0.785843431448581,0.00244490683430095,0.0617531253190664,"833.5227_5.2","PI(34:2)",NA,NA,NA,NA,"4.97390639","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:2)",439313.978604485,"IS"
"Chol","pHILIC_722.5093_4.2",0.742095541926545,0.00571676921791845,0.120766749728527,"722.5093_4.2","PE(P-36:5)",NA,NA,NA,NA,"-3.631556014","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:5)",256706.845536595,"IS"
"Energy","pRPLC_676.417_10.7",-0.918278644137064,2.49941799657289e-05,0.00422401641420818,"676.417_10.7","PS(28:2)",NA,"HMDB12342",NA,"HMDB","-2.093130967","pRPLC",20000,"[M+H]+","YES","Y",NA,NA,"PS(28:2)",28662.0765607863,"IS"
"Fluor","pHILIC_212.1026_7.4",-0.646801036935079,0.00114164525514225,0.19293804811904,"212.1026_7.4","N-acetyl-1-methylhistidine",NA,NA,NA,NA,"-1.758906829","pHILIC",1e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","N-acetyl-1-methylhistidine",178249.095723038,"IR"
"K","nRPLC_407.2804_9.2",-0.872497262514277,0.000213428636135582,0.0290507900311619,"407.2804_9.2","Cholic Acid",NA,"HMDB0000619",NA,"HMDB","0.258665655","nRPLC",90000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Cholic Acid",368133.99660659,"IS"
"K","nRPLC_464.3015_8.8",-0.859079044501626,0.000343796331729727,0.0290507900311619,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264,"IS"
"K","nRPLC_391.2856_9.8",-0.769202691829796,0.00344837069379872,0.145693661812996,"391.2856_9.8","Chenodeoxycholic Acid",NA,"HMDB0000518",NA,"HMDB","0.561396883","nRPLC",5e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic Acid",653486.691555401,"IS"
"K","nRPLC_448.3069_9.4",-0.77500621187005,0.00306836723445542,0.145693661812996,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318,"IS"
"Mn","nRPLC_464.3015_8.8",-0.636345157130961,0.00145350058212131,0.178468784472434,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264,"IR"
"Mn","nRPLC_514.2838_9.6",-0.599845136757132,0.00316808493146333,0.178468784472434,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107,"IR"
"Mn","nRPLC_498.2892_10.3",-0.607842052288876,0.00269222671256302,0.178468784472434,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625,"IR"
"Moly","nHILIC_724.5298_4.4",0.858770578036123,0.000347386867281938,0.0587083805706475,"724.5298_4.4","PE(P-36:3)",NA,NA,NA,NA,"1.57083219","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-36:3)",470907.857176351,"IS"
"Moly","pHILIC_738.5403_4.4",0.797405759607418,0.00189156978344075,0.0639350586802974,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207,"IS"
"Moly","nHILIC_700.5312_4.5",0.806764442968955,0.00151859495288714,0.0639350586802974,"700.5312_4.5","PE(P-34:1)",NA,NA,NA,NA,"3.620182032","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(P-34:1)",90648.3953498471,"IS"
"Moly","pHILIC_724.5254_4.4",0.832645894060022,0.000774977656451812,0.0639350586802974,"724.5254_4.4","PE(P-36:4)",NA,NA,NA,NA,"-2.99956413","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-36:4)",3189886.13057085,"IS"
"Moly","pHILIC_752.5554_4.3",0.812805965841987,0.00130971711125971,0.0639350586802974,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605,"IS"
"Moly","nHILIC_131.0349_5.1",-0.754526217143198,0.00456897275439472,0.0965195494365885,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105,"IS"
"Moly","pHILIC_778.5358_5.1",-0.754838552929668,0.00454258323025292,0.0965195494365885,"778.5358_5.1","PC(36:6)",NA,NA,NA,NA,"-3.003008816","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(36:6)",181056.080780301,"IS"
"Moly","pRPLC_706.4648_11.2",-0.756268862987863,0.00442320479217718,0.0965195494365885,"706.4648_11.2","PS(30:1)",NA,NA,NA,NA,"-0.799357840943465|-0.799357840943465|-0.799357840943465|-0.799357840943465|-4.15811713242703","pRPLC",1e+05,"[M+H]+","YES","Y",NA,NA,"PS(30:1)",195700.053012678,"IS"
"Moly","pRPLC_310.3104_11.1",-0.718855727476846,0.00842926504899187,0.158282865919959,"310.3104_11.1","Oleoyl Ethyl Amide",NA,NA,NA,NA,"-0.145084214","pRPLC",1e+05,"[M+H]+","YES","Y","Lipid","Long Chain Fatty Acid","Oleoyl Ethyl Amide",180217.381895923,"IS"
"Na","nRPLC_498.2892_10.3",-0.845743951355213,0.000527730178562208,0.0891864001770132,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625,"IS"
"Panto","nHILIC_188.9862_0.9",0.899672191946125,6.75022826511923e-05,0.0114078857680515,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882,"IS"
"SatFat","nHILIC_131.0349_5.1",-0.650704527322511,0.00104083870954365,0.175901741912877,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105,"IR"
"SolFib","pHILIC_746.5694_5.1",-0.911074680544459,3.7661660692278e-05,0.00636482065699498,"746.5694_5.1","PC(33:1)",NA,NA,NA,NA,"-0.047015532","pHILIC",9e+05,"[M+H]+","YES","Y",NA,NA,"PC(33:1)",1449721.61659469,"IS"
"SolFib","pHILIC_754.5367_5.1",-0.88797832126912,0.000114789775623131,0.00969973604015455,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442,"IS"
"SolFib","pHILIC_758.5668_5.1",-0.861839829613061,0.000312930046445056,0.0176283926164048,"758.5668_5.1","PC(34:2)",NA,NA,NA,NA,"-3.478344514","pHILIC",9e+07,"[M+H]+","YES","Y",NA,NA,"PC(34:2)",134071959.911157,"IS"
"SolFib","pHILIC_732.5525_5.1",-0.812912030836242,0.00130625927349377,0.0441515634440893,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876,"IS"
"SolFib","pHILIC_782.5665_5.1",-0.816586923331153,0.00119072448075112,0.0441515634440893,"782.5665_5.1","PC(36:4)",NA,NA,NA,NA,"-3.755381454","pHILIC",4e+07,"[M+H]+","YES","Y",NA,NA,"PC(36:4)",71577205.8319258,"IS"
"SolFib","pHILIC_778.5358_5.1",-0.805218269233156,0.00157594263450758,0.0443890508719635,"778.5358_5.1","PC(36:6)",NA,NA,NA,NA,"-3.003008816","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(36:6)",181056.080780301,"IS"
"SolFib","pHILIC_772.5828_5.1",-0.794672135106066,0.00201271858385691,0.0485927772388312,"772.5828_5.1","PC(35:2)",NA,NA,NA,NA,"-2.961624547","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:2)",2494047.15408437,"IS"
"SolFib","nRPLC_365.2333_9.7",-0.767391901703166,0.0035739514496445,0.07549972437374,"365.2333_9.7","Tetrahydrocortisol","C05472","HMDB00949","53-02-1","HMDB","-0.120680237","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydrocortisol",161875.914821611,"IS"
"SolFib","pHILIC_786.5972_5.1",-0.751139897458527,0.00486258796141279,0.0913085961643068,"786.5972_5.1","PC(36:2)",NA,NA,NA,NA,"-4.500033554","pHILIC",4e+07,"[M+H]+","YES","Y",NA,NA,"PC(36:2)",60016902.0548643,"IS"
"SolFib","pHILIC_280.1384_8",-0.706530577623484,0.0102084740609485,0.172523211630029,"280.1384_8","N-(1-Deoxy-1-fructosyl)valine",NA,"HMDB37844",NA,"HMDB","-2.443407242","pHILIC",90000,"[M+H]+","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","N-(1-Deoxy-1-fructosyl)valine",122188.384102992,"IS"
"SolFib","pHILIC_742.5724_5.1",-0.690550079014577,0.0129140000307997,0.197793013642641,"742.5724_5.1","PC(P-34:2)",NA,NA,NA,NA,"-2.85939959","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(P-34:2)",2459365.77942056,"IS"
"SolFib","pHILIC_247.1437_5.3",-0.684605849012086,0.0140444743414893,0.197793013642641,"247.1437_5.3","Tryptophan betaine","C09213","HMDB61115",NA,NA,"-1.656926675","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Tryptophan Metabolism","Tryptophan betaine",2191858.73993137,"IS"
"Sugar","nRPLC_327.2538_10.5",-0.716082148641188,0.00017829817239165,0.0301323911341889,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985,"IR"
"Sugar","nRPLC_355.2852_11",-0.678554946135183,0.000517611487771567,0.0437381707166974,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735,"IR"
"TotSolFib","pHILIC_746.5694_5.1",-0.854592993243608,0.000398948767951117,0.0674223417837388,"746.5694_5.1","PC(33:1)",NA,NA,NA,NA,"-0.047015532","pHILIC",9e+05,"[M+H]+","YES","Y",NA,NA,"PC(33:1)",1449721.61659469,"IS"
"TotSolFib","pHILIC_732.5525_5.1",-0.826501621890356,0.000917976036322338,0.0730287291181349,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876,"IS"
"TotSolFib","pHILIC_754.5367_5.1",-0.813216631501979,0.00129636797251127,0.0730287291181349,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442,"IS"
"TotSolFib","pHILIC_782.5665_5.1",-0.798834686526128,0.00183050869697407,0.0773389924471543,"782.5665_5.1","PC(36:4)",NA,NA,NA,NA,"-3.755381454","pHILIC",4e+07,"[M+H]+","YES","Y",NA,NA,"PC(36:4)",71577205.8319258,"IS"
"TotSolFib","pHILIC_778.5358_5.1",-0.786043549637412,0.00243438789644637,0.0822823108998873,"778.5358_5.1","PC(36:6)",NA,NA,NA,NA,"-3.003008816","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(36:6)",181056.080780301,"IS"
"TotSolFib","pHILIC_772.5828_5.1",-0.776443124958045,0.00297941319387857,0.0839201382942465,"772.5828_5.1","PC(35:2)",NA,NA,NA,NA,"-2.961624547","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:2)",2494047.15408437,"IS"
"TotSolFib","pHILIC_758.5668_5.1",-0.752085215464736,0.00477922919420233,0.115384247688599,"758.5668_5.1","PC(34:2)",NA,NA,NA,NA,"-3.478344514","pHILIC",9e+07,"[M+H]+","YES","Y",NA,NA,"PC(34:2)",134071959.911157,"IS"
"TransFat","nRPLC_230.9968_4.1",-0.83011248275436,0.000831680061960269,0.140553930471285,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203,"IS"
"VitB1","nHILIC_181.0367_6.8",0.848275487009065,0.000488005220164353,0.0824728822077757,"181.0367_6.8","1-Methyluric acid","C16359","HMDB03099","708-79-2","HMDB","-0.055360249","nHILIC",9e+05,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","1-Methyluric acid",1132694.65653544,"IS"
"VitB12","nRPLC_409.3322_11.2",-0.836345571026493,0.000697593638244098,0.117893324863253,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771,"IS"
"VitB12","nRPLC_383.1535_7.6",0.628825814124028,0.0017200609715313,0.145345152094395,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356,"IR"
"VitB12","nHILIC_103.04_4.6",0.640638938721983,0.00131765991257203,0.145345152094395,"103.04_4.6","Hydroxybutyric acid",NA,NA,NA,NA,"-0.616277523","nHILIC",8e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Hydroxybutyric acid",8691325.38358818,"IR"
