Sub.pathway,unique_metabolites_list_IS,unique_metabolites_count_IS,unique_metabolites_list_IR,unique_metabolites_count_IR
"""Glycine, Serine and Threonine Metabolism""",['nHILIC_160.0615_7.2'],1,['nHILIC_160.0615_7.2'],1
"""Leucine, Isoleucine and Valine Metabolism""","['pHILIC_280.1384_8' 'nHILIC_131.0349_5.1' 'nRPLC_117.0557_0.6'
 'pHILIC_146.0811_7.5']",4,"['nHILIC_131.0349_5.1' 'nRPLC_117.0557_0.6' 'pHILIC_146.0811_7.5'
 'pHILIC_280.1384_8']",4
"""Purine Metabolism, Adenine containing""",['pHILIC_282.119_6.7' 'nRPLC_411.127_3.6'],2,['pHILIC_282.119_6.7' 'nRPLC_411.127_3.6'],2
"""Purine Metabolism, Guanine containing""",['pRPLC_312.1305_2.8'],1,['pRPLC_312.1305_2.8'],1
"""Pyrimidine Metabolism, Orotate containing""",['nHILIC_287.052_8.1'],1,['nHILIC_287.052_8.1'],1
"""Pyrimidine Metabolism, Uracil containing""",['pHILIC_298.1139_4.7' 'nHILIC_111.0199_3.4' 'nHILIC_243.0621_5.8'],3,['pHILIC_298.1139_4.7' 'nHILIC_111.0199_3.4' 'nHILIC_243.0621_5.8'],3
Acetylated Peptides,['pRPLC_265.1184_2.6'],1,['pRPLC_265.1184_2.6'],1
Androgenic Steroids,"['nRPLC_467.2636_8.4' 'nHILIC_224.0617_4.8' 'nRPLC_465.2489_8.6'
 'nRPLC_369.1741_9.5' 'nRPLC_367.1585_8.9' 'nHILIC_481.244_5.2'
 'nRPLC_539.2494_7' 'nRPLC_365.2333_9.7' 'nRPLC_383.1535_7.6'
 'nRPLC_371.1881_9.5']",10,"['nHILIC_481.244_5.2' 'nRPLC_383.1535_7.6' 'nRPLC_465.2489_8.6'
 'nRPLC_467.2636_8.4' 'nRPLC_369.1741_9.5' 'nRPLC_371.1881_9.5'
 'nRPLC_367.1585_8.9' 'nHILIC_224.0617_4.8' 'nRPLC_365.2333_9.7'
 'nRPLC_539.2494_7']",10
Ascorbate and Aldarate Metabolism,['nHILIC_135.0299_7.9' 'nHILIC_88.988_11'],2,['nHILIC_88.988_11' 'nHILIC_135.0299_7.9'],2
Benzoate Metabolism,"['nRPLC_149.0607_4.6' 'nHILIC_194.0458_4.6' 'nRPLC_230.9968_4.1'
 'nRPLC_163.0765_7.4' 'nHILIC_188.9862_0.9' 'nRPLC_203.002_1.9']",6,"['nHILIC_194.0458_4.6' 'nRPLC_230.9968_4.1' 'nRPLC_163.0765_7.4'
 'nRPLC_203.002_1.9' 'nHILIC_188.9862_0.9' 'nRPLC_149.0607_4.6']",6
Butanoate metabolism,['nHILIC_87.045_4.2'],1,['nHILIC_87.045_4.2'],1
Chemical,"['nHILIC_238.0929_7.3' 'nHILIC_188.0023_1.6' 'nHILIC_204.9811_1.1'
 'nHILIC_132.0302_8.3']",4,"['nHILIC_204.9811_1.1' 'nHILIC_188.0023_1.6' 'nHILIC_132.0302_8.3'
 'nHILIC_238.0929_7.3']",4
Dipeptide,"['nHILIC_202.1197_13.3' 'pHILIC_219.0795_5' 'pHILIC_179.0484_7.4'
 'nHILIC_261.0725_10.7' 'pRPLC_169.0971_1.6' 'nHILIC_217.0651_5'
 'pHILIC_203.1388_8.9' 'nHILIC_247.057_11.8' 'nHILIC_274.1407_12.3'
 'pRPLC_313.1548_3.5']",10,"['pRPLC_313.1548_3.5' 'nHILIC_247.057_11.8' 'pRPLC_169.0971_1.6'
 'nHILIC_274.1407_12.3' 'pHILIC_203.1388_8.9' 'nHILIC_202.1197_13.3'
 'pHILIC_179.0484_7.4' 'nHILIC_261.0725_10.7' 'nHILIC_217.0651_5'
 'pHILIC_219.0795_5']",10
Fatty Acid Metabolism(Acyl Glycine),['nRPLC_312.2546_10.4'],1,['nRPLC_312.2546_10.4'],1
Food Component/Plant,"['pHILIC_158.1174_6.2' 'pRPLC_100.0756_1.2' 'nRPLC_204.0666_4.3'
 'pRPLC_277.0384_5.1' 'pHILIC_178.0532_7.5' 'pHILIC_160.0967_7.5'
 'nRPLC_243.0331_5.4' 'nHILIC_121.0505_3.5']",8,"['pRPLC_100.0756_1.2' 'nHILIC_121.0505_3.5' 'pHILIC_158.1174_6.2'
 'pRPLC_277.0384_5.1' 'pHILIC_160.0967_7.5' 'pHILIC_178.0532_7.5'
 'nRPLC_204.0666_4.3' 'nRPLC_243.0331_5.4']",8
Gamma-glutamyl Amino Acid,['pHILIC_249.1078_10.4' 'nRPLC_283.1088_9.6' 'pRPLC_295.1292_1.3'],3,['nRPLC_283.1088_9.6' 'pHILIC_249.1078_10.4' 'pRPLC_295.1292_1.3'],3
Glutathione Metabolism,"['nHILIC_425.0806_12.4' 'nHILIC_103.04_4.6' 'nHILIC_128.0352_7.6'
 'pHILIC_104.0705_8.1']",4,"['nHILIC_103.04_4.6' 'nHILIC_128.0352_7.6' 'pHILIC_104.0705_8.1'
 'nHILIC_425.0806_12.4']",4
Hemoglobin and Porphyrin Metabolism,['pHILIC_585.2694_4.9' 'pHILIC_583.2539_5.3'],2,['pHILIC_583.2539_5.3' 'pHILIC_585.2694_4.9'],2
Histidine Metabolism,"['pHILIC_157.0607_8.3' 'pHILIC_170.0923_8.5' 'pHILIC_269.1239_8.3'
 'pHILIC_212.1026_7.4']",4,"['pHILIC_170.0923_8.5' 'pHILIC_212.1026_7.4' 'pHILIC_157.0607_8.3'
 'pHILIC_269.1239_8.3']",4
Long Chain Fatty Acid,['pRPLC_310.3104_11.1'],1,['pRPLC_310.3104_11.1'],1
Monoacylglycerol,"['nRPLC_299.2228_9.3' 'nRPLC_351.254_10.3' 'nRPLC_385.332_10.8'
 'nRPLC_375.254_10.2' 'nRPLC_439.3792_11.1' 'nRPLC_355.2852_11'
 'nRPLC_377.2696_10.5' 'pRPLC_359.3154_11' 'nRPLC_327.2538_10.5'
 'nRPLC_409.3322_11.2' 'nRPLC_315.2541_9.4' 'nRPLC_441.3947_11.3']",12,"['nRPLC_315.2541_9.4' 'nRPLC_441.3947_11.3' 'nRPLC_327.2538_10.5'
 'nRPLC_385.332_10.8' 'nRPLC_377.2696_10.5' 'nRPLC_409.3322_11.2'
 'nRPLC_439.3792_11.1' 'nRPLC_299.2228_9.3' 'nRPLC_355.2852_11'
 'nRPLC_351.254_10.3' 'pRPLC_359.3154_11' 'nRPLC_375.254_10.2']",12
Nicotinate and Nicotinamide Metabolism,['pRPLC_153.0658_1.2'],1,['pRPLC_153.0658_1.2'],1
Pantothenate and CoA Metabolism,['nHILIC_133.0506_2.3'],1,['nHILIC_133.0506_2.3'],1
Pentose Metabolism,['nHILIC_165.0405_8.5' 'nHILIC_151.0611_5.4' 'pHILIC_309.1649_15.6'],3,['pHILIC_309.1649_15.6' 'nHILIC_165.0405_8.5' 'nHILIC_151.0611_5.4'],3
Phenylalanine Metabolism,['nRPLC_165.0556_2.3'],1,['nRPLC_165.0556_2.3'],1
Phospholipid Metabolism,['nRPLC_511.3039_10.3' 'nHILIC_214.0488_7.2'],2,['nHILIC_214.0488_7.2' 'nRPLC_511.3039_10.3'],2
Primary Bile Acid Metabolism,"['nRPLC_407.2804_9.2' 'nRPLC_391.2856_9.8' 'nRPLC_448.3069_9.4'
 'nRPLC_514.2838_9.6' 'nRPLC_464.3015_8.8']",5,"['nRPLC_407.2804_9.2' 'nRPLC_464.3015_8.8' 'nRPLC_514.2838_9.6'
 'nRPLC_391.2856_9.8' 'nRPLC_448.3069_9.4']",5
Progestin Steroids,['nRPLC_495.2962_9.1' 'nRPLC_397.2054_9.6' 'nRPLC_395.1897_10'],3,['nRPLC_495.2962_9.1' 'nRPLC_395.1897_10' 'nRPLC_397.2054_9.6'],3
Secondary Bile Acid Metabolism,['nRPLC_498.2892_10.3' 'nRPLC_455.2472_11' 'nHILIC_512.2684_5.7'],3,['nRPLC_498.2892_10.3' 'nHILIC_512.2684_5.7' 'nRPLC_455.2472_11'],3
Sphingolipid Metabolism,['pRPLC_382.2719_9.6'],1,['pRPLC_382.2719_9.6'],1
Sterol,['nRPLC_429.3008_10.3'],1,['nRPLC_429.3008_10.3'],1
Tocopherol Metabolism,['nRPLC_263.1289_6.8'],1,['nRPLC_263.1289_6.8'],1
Tryptophan Metabolism,['nHILIC_302.1148_6.5' 'nHILIC_235.0723_6.5' 'pHILIC_247.1437_5.3'],3,['pHILIC_247.1437_5.3' 'nHILIC_235.0723_6.5' 'nHILIC_302.1148_6.5'],3
Tyrosine Metabolism,"['nRPLC_187.007_2.3' 'nRPLC_151.04_2.3' 'nRPLC_153.0193_2.1'
 'nRPLC_283.0822_2.4' 'nRPLC_172.9914_0.9' 'nHILIC_179.0348_2.2']",6,"['nHILIC_179.0348_2.2' 'nRPLC_283.0822_2.4' 'nRPLC_172.9914_0.9'
 'nRPLC_187.007_2.3' 'nRPLC_151.04_2.3' 'nRPLC_153.0193_2.1']",6
Urea cycle; Arginine and Proline Metabolism,['pHILIC_189.1345_14.4' 'pHILIC_130.0863_6.6' 'pHILIC_229.1181_10.9'],3,['pHILIC_189.1345_14.4' 'pHILIC_130.0863_6.6' 'pHILIC_229.1181_10.9'],3
Vitamin D Metabolism,['nRPLC_415.3217_11.4'],1,['nRPLC_415.3217_11.4'],1
Xanthine Metabolism,['nHILIC_197.0679_1.4' 'nHILIC_181.0367_6.8' 'pRPLC_181.0718_3.1'],3,['nHILIC_197.0679_1.4' 'nHILIC_181.0367_6.8' 'pRPLC_181.0718_3.1'],3